File_Name,Black_Hair,Blond_Hair,Brown_Hair,Gray_Hair,Straight_Hair,Wavy_Hair
000473.png,-1,-1,1,-1,-1,1
000474.png,-1,-1,1,-1,-1,-1
000477.png,1,-1,-1,-1,-1,-1
000481.png,-1,-1,1,-1,-1,-1
000486.png,1,-1,-1,-1,1,-1
000490.png,1,-1,-1,-1,-1,1
000498.png,-1,-1,-1,1,-1,-1
000500.png,-1,-1,-1,1,-1,-1
000512.png,1,-1,-1,-1,-1,-1
000515.png,1,-1,-1,-1,-1,-1
000518.png,-1,-1,-1,1,-1,-1
000520.png,-1,-1,-1,1,-1,-1
000526.png,1,-1,-1,-1,-1,-1
000529.png,1,-1,-1,-1,1,-1
000534.png,-1,-1,-1,-1,1,-1
000535.png,1,-1,-1,-1,-1,-1
000536.png,1,-1,-1,-1,-1,-1
000537.png,1,-1,-1,-1,-1,-1
000542.png,-1,-1,1,-1,-1,-1
000543.png,-1,-1,-1,-1,-1,1
000545.png,-1,-1,-1,-1,-1,1
000546.png,1,-1,-1,-1,-1,-1
000552.png,-1,-1,1,-1,-1,-1
000558.png,-1,-1,1,-1,1,-1
000559.png,1,-1,-1,-1,-1,-1
000561.png,1,-1,1,-1,1,-1
000563.png,-1,1,-1,-1,1,-1
000564.png,1,-1,-1,-1,-1,1
000569.png,1,-1,-1,-1,-1,-1
000571.png,1,-1,-1,-1,-1,-1
000572.png,1,-1,-1,-1,1,-1
000573.png,-1,-1,-1,-1,1,-1
000575.png,-1,-1,1,1,-1,-1
000578.png,-1,-1,-1,1,-1,-1
000583.png,1,-1,-1,-1,-1,-1
000585.png,-1,-1,-1,-1,-1,1
000586.png,1,-1,-1,-1,1,-1
000590.png,-1,-1,1,-1,-1,-1
000592.png,-1,-1,1,-1,-1,-1
000596.png,-1,1,-1,1,-1,-1
000603.png,1,-1,-1,-1,-1,-1
000608.png,-1,-1,-1,1,1,-1
000617.png,1,-1,-1,-1,1,-1
000619.png,1,-1,-1,-1,-1,-1
000622.png,-1,-1,1,-1,-1,1
000625.png,1,-1,-1,-1,-1,1
000630.png,1,-1,-1,-1,1,-1
000636.png,1,-1,-1,-1,-1,-1
000639.png,-1,-1,-1,1,-1,-1
000649.png,1,-1,-1,-1,1,-1
000651.png,-1,-1,-1,-1,1,-1
000652.png,1,-1,-1,-1,1,-1
000655.png,1,-1,-1,-1,1,-1
000657.png,-1,-1,1,-1,1,-1
000659.png,-1,-1,-1,-1,1,-1
000660.png,1,-1,-1,-1,1,-1
000661.png,-1,-1,-1,-1,1,-1
000662.png,-1,-1,1,-1,-1,1
000670.png,-1,-1,1,-1,-1,-1
000671.png,1,-1,-1,-1,-1,-1
000674.png,1,-1,-1,-1,-1,1
000677.png,-1,-1,-1,1,-1,-1
000681.png,1,1,-1,-1,1,-1
000682.png,1,-1,-1,-1,1,-1
000683.png,1,-1,-1,-1,-1,-1
000684.png,-1,-1,1,-1,1,-1
000685.png,-1,-1,1,-1,-1,1
000686.png,1,-1,-1,-1,-1,-1
000687.png,-1,-1,-1,1,-1,-1
000688.png,-1,-1,1,-1,-1,-1
000689.png,-1,-1,1,-1,-1,1
000700.png,1,-1,-1,-1,-1,-1
000705.png,-1,-1,1,-1,-1,-1
000706.png,-1,-1,1,-1,-1,-1
000712.png,-1,-1,-1,-1,-1,1
000714.png,-1,-1,1,-1,-1,-1
000720.png,-1,-1,-1,1,-1,1
000723.png,-1,-1,1,-1,-1,1
000724.png,1,-1,-1,-1,1,-1
000728.png,1,-1,-1,-1,-1,-1
000730.png,-1,-1,1,-1,1,-1
000732.png,-1,-1,1,-1,-1,1
000735.png,1,-1,-1,-1,-1,-1
000739.png,-1,-1,-1,-1,-1,1
000745.png,1,-1,-1,-1,-1,1
000753.png,-1,-1,-1,-1,1,-1
000755.png,-1,-1,1,-1,-1,1
000756.png,-1,-1,1,-1,-1,-1
000757.png,-1,-1,1,-1,1,-1
000773.png,1,-1,-1,-1,1,-1
000775.png,-1,-1,1,-1,1,-1
000779.png,-1,-1,-1,1,-1,-1
000780.png,1,-1,-1,-1,-1,-1
000784.png,1,-1,-1,-1,-1,-1
000790.png,1,-1,-1,-1,-1,-1
000791.png,-1,1,-1,-1,-1,-1
000797.png,-1,-1,1,-1,-1,1
000798.png,-1,-1,-1,1,-1,-1
000801.png,-1,-1,-1,-1,-1,1
000808.png,1,-1,-1,-1,-1,-1
000813.png,1,-1,-1,-1,-1,-1
000815.png,1,-1,-1,-1,1,-1
000816.png,1,-1,-1,-1,-1,-1
000818.png,-1,-1,-1,1,-1,-1
000825.png,1,-1,-1,-1,-1,-1
000826.png,-1,-1,-1,-1,1,-1
000829.png,1,-1,-1,-1,1,-1
000830.png,1,-1,-1,-1,1,-1
000838.png,-1,-1,-1,-1,1,-1
000841.png,1,-1,-1,-1,-1,-1
000844.png,1,-1,-1,-1,1,-1
000846.png,-1,-1,-1,1,-1,-1
000848.png,1,-1,-1,-1,1,-1
000851.png,-1,-1,-1,1,-1,-1
000853.png,-1,-1,-1,1,1,-1
000855.png,-1,-1,1,-1,-1,1
000859.png,1,-1,-1,-1,1,-1
000860.png,1,-1,-1,-1,-1,-1
000861.png,-1,-1,-1,-1,-1,1
000875.png,1,-1,-1,-1,1,-1
000879.png,1,-1,-1,-1,1,-1
000885.png,1,-1,-1,-1,1,-1
000889.png,1,-1,-1,-1,-1,-1
000892.png,-1,-1,1,-1,1,-1
000898.png,-1,-1,-1,-1,1,-1
000903.png,-1,-1,-1,1,-1,-1
000906.png,-1,-1,-1,-1,1,-1
000908.png,1,-1,-1,-1,-1,-1
000911.png,-1,-1,-1,1,-1,1
000913.png,-1,-1,1,-1,-1,1
000915.png,-1,-1,-1,1,-1,-1
000928.png,-1,-1,1,-1,-1,1
000930.png,-1,-1,1,-1,-1,1
000931.png,1,-1,-1,-1,-1,-1
000935.png,-1,-1,1,-1,1,-1
000946.png,-1,-1,1,-1,1,-1
000954.png,1,-1,-1,-1,1,-1
000958.png,-1,-1,-1,1,-1,-1
000960.png,-1,-1,1,-1,-1,-1
000962.png,1,-1,-1,-1,-1,1
000964.png,-1,-1,-1,-1,-1,1
000966.png,1,-1,-1,-1,1,-1
000969.png,-1,-1,-1,1,-1,-1
000972.png,1,-1,-1,-1,-1,-1
000973.png,-1,-1,-1,-1,1,-1
000975.png,-1,-1,1,-1,-1,-1
000977.png,-1,-1,1,-1,-1,-1
000979.png,1,-1,-1,-1,-1,-1
000983.png,1,-1,-1,-1,1,-1
000987.png,1,-1,-1,-1,1,-1
000990.png,1,-1,-1,-1,1,-1
000992.png,-1,-1,1,-1,-1,-1
000993.png,-1,-1,-1,1,-1,-1
000994.png,-1,-1,1,-1,-1,1
001006.png,-1,-1,-1,1,-1,-1
001020.png,-1,-1,1,-1,-1,1
001027.png,1,-1,-1,-1,-1,-1
001032.png,-1,-1,1,-1,-1,-1
001033.png,-1,-1,-1,1,1,-1
001047.png,-1,-1,1,-1,1,-1
001048.png,1,-1,1,-1,-1,-1
001051.png,-1,-1,-1,-1,1,-1
001053.png,1,-1,-1,-1,-1,-1
001055.png,-1,-1,1,-1,-1,-1
001063.png,1,-1,-1,-1,1,-1
001066.png,1,-1,-1,-1,-1,-1
001079.png,1,-1,-1,-1,-1,1
001089.png,1,-1,-1,-1,1,-1
001094.png,-1,-1,1,-1,-1,-1
001095.png,-1,-1,1,-1,1,-1
001099.png,-1,-1,-1,-1,-1,1
001101.png,-1,-1,-1,1,1,-1
001106.png,-1,-1,-1,-1,-1,1
001109.png,-1,-1,-1,1,1,-1
001127.png,-1,-1,-1,1,-1,-1
001136.png,-1,-1,1,-1,1,-1
001147.png,1,-1,-1,-1,-1,1
001161.png,-1,-1,-1,-1,-1,1
001162.png,-1,-1,1,-1,-1,-1
001164.png,1,-1,-1,-1,-1,-1
001168.png,1,-1,-1,-1,1,-1
001169.png,1,-1,-1,-1,-1,-1
001171.png,1,-1,-1,-1,-1,-1
001173.png,1,-1,-1,-1,-1,-1
001177.png,1,-1,-1,-1,-1,-1
001180.png,1,-1,-1,-1,1,-1
001182.png,-1,-1,-1,-1,-1,1
001185.png,1,-1,-1,-1,-1,-1
001189.png,-1,-1,-1,1,-1,1
001193.png,-1,1,-1,-1,-1,1
001199.png,1,-1,-1,-1,1,-1
001201.png,1,-1,-1,-1,1,-1
001204.png,-1,-1,1,-1,-1,-1
001206.png,-1,-1,1,-1,-1,1
001210.png,-1,-1,1,-1,1,-1
001213.png,-1,-1,-1,-1,-1,1
001215.png,-1,-1,-1,1,1,-1
001216.png,1,-1,-1,-1,-1,-1
001217.png,1,-1,-1,-1,-1,-1
001220.png,-1,-1,1,-1,-1,-1
001222.png,1,-1,-1,-1,-1,-1
001225.png,-1,-1,1,-1,1,-1
001229.png,-1,-1,1,-1,1,-1
001230.png,-1,-1,1,-1,-1,1
001231.png,1,-1,-1,-1,-1,-1
001237.png,-1,-1,-1,1,1,-1
001241.png,-1,-1,-1,1,1,-1
001243.png,-1,-1,-1,1,1,-1
001245.png,-1,-1,1,-1,1,-1
001247.png,1,-1,-1,-1,-1,-1
001250.png,1,-1,-1,-1,1,-1
001252.png,-1,-1,1,-1,-1,1
001253.png,1,-1,1,-1,1,-1
001258.png,-1,-1,-1,1,-1,-1
001259.png,-1,-1,-1,1,-1,-1
001260.png,-1,-1,1,-1,-1,1
001263.png,1,-1,-1,-1,-1,-1
001264.png,1,-1,-1,-1,1,-1
001266.png,1,-1,-1,-1,-1,-1
001270.png,-1,-1,-1,1,-1,-1
001275.png,-1,-1,-1,-1,-1,1
001279.png,1,-1,-1,-1,-1,-1
001281.png,-1,-1,1,-1,1,-1
001283.png,-1,-1,-1,-1,-1,1
001288.png,1,-1,-1,-1,1,-1
001290.png,-1,-1,-1,-1,1,-1
001299.png,-1,-1,-1,-1,1,-1
001302.png,1,-1,-1,-1,-1,-1
001308.png,-1,-1,1,-1,-1,1
001310.png,-1,-1,-1,1,-1,-1
001316.png,1,-1,-1,-1,-1,1
001325.png,-1,-1,1,-1,-1,-1
001335.png,-1,-1,-1,-1,1,-1
001337.png,-1,-1,1,-1,-1,-1
001338.png,-1,-1,-1,1,-1,-1
001339.png,-1,-1,-1,-1,-1,1
001343.png,-1,-1,-1,-1,1,-1
001352.png,1,-1,-1,-1,-1,-1
001354.png,-1,-1,1,-1,-1,-1
001356.png,-1,-1,-1,1,-1,-1
001369.png,-1,-1,-1,-1,1,-1
001370.png,-1,-1,1,-1,1,-1
001372.png,-1,-1,-1,1,-1,-1
001381.png,-1,-1,1,-1,-1,-1
001386.png,1,-1,-1,-1,-1,-1
001388.png,-1,-1,1,-1,1,-1
001393.png,-1,-1,-1,1,-1,-1
001394.png,1,-1,-1,-1,-1,-1
001396.png,-1,-1,-1,-1,1,-1
001399.png,1,-1,-1,-1,-1,-1
001408.png,-1,-1,1,-1,-1,1
001413.png,-1,-1,1,-1,-1,1
001414.png,-1,-1,1,-1,1,-1
001417.png,-1,-1,-1,-1,-1,1
001418.png,-1,-1,1,-1,-1,-1
001420.png,-1,-1,-1,1,-1,-1
001423.png,1,-1,-1,-1,1,-1
001427.png,-1,-1,-1,-1,1,-1
001432.png,-1,-1,-1,1,-1,1
001435.png,1,-1,-1,-1,1,-1
001440.png,-1,-1,-1,-1,1,-1
001444.png,1,-1,-1,-1,-1,-1
001450.png,-1,-1,-1,-1,1,-1
001451.png,-1,-1,-1,-1,1,-1
001453.png,-1,-1,-1,-1,-1,1
001456.png,1,-1,-1,-1,-1,-1
001457.png,1,-1,-1,-1,-1,-1
001458.png,1,-1,-1,-1,-1,-1
001464.png,1,-1,-1,-1,-1,-1
001467.png,1,-1,-1,-1,1,-1
001468.png,-1,-1,-1,-1,-1,1
001470.png,1,-1,-1,-1,1,-1
001474.png,1,-1,-1,-1,-1,-1
001477.png,1,-1,-1,-1,1,-1
001483.png,-1,-1,-1,1,-1,-1
001489.png,-1,-1,-1,-1,1,-1
001490.png,1,-1,-1,-1,-1,-1
001513.png,1,-1,-1,-1,-1,1
001514.png,1,-1,-1,-1,1,-1
001517.png,1,-1,-1,-1,-1,-1
001524.png,-1,-1,1,-1,-1,1
001526.png,1,-1,-1,-1,-1,-1
001527.png,1,-1,-1,-1,1,-1
001529.png,1,-1,-1,-1,-1,-1
001530.png,-1,-1,1,-1,1,1
001531.png,-1,-1,-1,1,-1,-1
001533.png,-1,-1,-1,1,1,-1
001534.png,1,-1,-1,-1,-1,1
001538.png,1,-1,-1,-1,-1,-1
001539.png,-1,-1,-1,-1,1,-1
001540.png,-1,-1,-1,-1,1,-1
001543.png,-1,-1,-1,1,-1,-1
001545.png,-1,1,-1,-1,-1,1
001547.png,1,-1,-1,-1,-1,1
001550.png,1,-1,-1,-1,1,-1
001554.png,-1,-1,1,-1,-1,-1
001556.png,1,-1,-1,-1,-1,1
001557.png,1,-1,-1,-1,-1,-1
001558.png,1,-1,-1,-1,1,-1
001562.png,1,-1,-1,-1,-1,-1
001563.png,-1,-1,1,-1,-1,1
001573.png,-1,-1,-1,-1,1,-1
001577.png,-1,-1,-1,1,1,-1
001578.png,-1,-1,-1,-1,1,-1
001580.png,1,-1,-1,-1,1,-1
001581.png,-1,-1,-1,-1,1,-1
001582.png,1,-1,-1,-1,-1,-1
001583.png,1,-1,-1,-1,1,-1
001586.png,1,-1,-1,-1,-1,-1
001588.png,1,-1,-1,-1,-1,1
001589.png,-1,1,-1,-1,-1,1
001591.png,1,-1,-1,-1,-1,-1
001596.png,1,-1,-1,-1,-1,-1
001598.png,-1,-1,-1,-1,-1,1
001599.png,1,-1,-1,-1,1,-1
001601.png,-1,-1,1,-1,-1,1
001605.png,1,-1,-1,-1,-1,-1
001606.png,-1,-1,-1,-1,-1,1
001615.png,-1,-1,-1,-1,1,-1
001616.png,-1,-1,-1,-1,1,-1
001617.png,-1,-1,1,-1,-1,-1
001623.png,1,-1,-1,-1,-1,1
001625.png,-1,-1,-1,1,-1,-1
001627.png,1,-1,-1,-1,-1,1
001632.png,1,-1,-1,-1,-1,-1
001633.png,1,-1,-1,-1,-1,-1
001634.png,-1,-1,-1,1,1,-1
001636.png,-1,-1,-1,-1,1,-1
001640.png,1,-1,-1,-1,1,-1
001654.png,-1,-1,1,-1,1,-1
001655.png,-1,-1,-1,1,-1,-1
001657.png,-1,-1,-1,1,-1,-1
001659.png,-1,-1,-1,-1,-1,1
001666.png,1,-1,-1,-1,-1,-1
001677.png,1,-1,-1,-1,-1,1
001678.png,1,-1,-1,-1,-1,-1
001679.png,-1,-1,-1,1,-1,1
001689.png,1,-1,-1,-1,-1,-1
001690.png,1,-1,-1,-1,-1,-1
001692.png,-1,-1,-1,-1,-1,1
001693.png,1,-1,-1,-1,1,-1
001703.png,-1,-1,-1,1,1,-1
001711.png,-1,-1,-1,1,1,-1
001712.png,-1,-1,-1,-1,-1,1
001715.png,1,-1,-1,-1,-1,-1
001716.png,1,-1,-1,-1,-1,-1
001717.png,-1,-1,-1,1,-1,-1
001721.png,-1,-1,1,-1,-1,-1
001723.png,1,-1,-1,-1,-1,-1
001728.png,1,-1,-1,-1,-1,-1
001729.png,-1,-1,1,-1,-1,1
001730.png,1,-1,-1,-1,-1,1
001740.png,1,-1,-1,-1,-1,-1
001742.png,-1,-1,-1,1,-1,-1
001749.png,1,-1,-1,-1,-1,-1
001750.png,-1,-1,-1,-1,1,-1
001754.png,-1,-1,-1,1,-1,-1
001757.png,-1,-1,-1,1,-1,-1
001758.png,1,-1,-1,-1,-1,-1
001759.png,-1,-1,-1,1,-1,-1
001761.png,1,-1,-1,-1,-1,-1
001765.png,-1,-1,1,-1,-1,1
001767.png,1,-1,-1,-1,-1,-1
001775.png,-1,1,-1,-1,-1,-1
001780.png,-1,-1,-1,1,-1,-1
001781.png,-1,-1,-1,1,-1,-1
001782.png,1,-1,-1,-1,-1,-1
001790.png,1,-1,-1,-1,-1,1
001791.png,1,-1,-1,-1,-1,-1
001792.png,-1,-1,-1,-1,1,-1
001797.png,1,-1,-1,-1,-1,-1
001800.png,1,-1,-1,-1,-1,-1
001803.png,1,-1,-1,-1,-1,-1
001814.png,-1,-1,1,-1,-1,1
001815.png,1,-1,-1,-1,-1,-1
001826.png,-1,-1,1,-1,1,-1
001830.png,-1,-1,-1,-1,1,-1
001831.png,-1,-1,-1,-1,-1,1
001833.png,-1,-1,-1,1,-1,1
001837.png,1,-1,-1,-1,-1,-1
001838.png,1,-1,-1,-1,-1,-1
001841.png,1,-1,-1,-1,-1,1
001842.png,-1,-1,-1,-1,-1,1
001846.png,-1,-1,-1,1,-1,-1
001848.png,1,-1,-1,-1,-1,1
001852.png,-1,-1,-1,-1,1,-1
001854.png,-1,-1,1,-1,1,-1
001855.png,-1,-1,-1,-1,-1,1
001857.png,1,-1,-1,-1,-1,1
001859.png,-1,-1,-1,-1,-1,1
001867.png,-1,-1,1,-1,-1,1
001870.png,-1,-1,1,-1,-1,-1
001874.png,1,-1,-1,-1,1,-1
001875.png,1,-1,-1,-1,-1,1
001879.png,-1,-1,1,-1,-1,-1
001885.png,1,-1,-1,-1,1,-1
001888.png,1,-1,-1,-1,-1,-1
001890.png,-1,-1,1,-1,-1,-1
001893.png,1,-1,-1,-1,-1,-1
001895.png,-1,-1,-1,-1,-1,1
001896.png,1,-1,-1,-1,-1,-1
001897.png,-1,-1,-1,-1,1,-1
001905.png,-1,-1,1,-1,-1,-1
001907.png,-1,-1,-1,-1,1,-1
001911.png,-1,-1,-1,-1,-1,1
001919.png,1,-1,-1,-1,1,-1
001926.png,1,-1,-1,-1,-1,1
001927.png,-1,-1,-1,-1,1,-1
001930.png,-1,-1,-1,1,-1,1
001932.png,-1,-1,1,-1,-1,-1
001934.png,1,-1,-1,-1,-1,1
001935.png,1,-1,-1,-1,1,-1
001944.png,1,-1,-1,-1,-1,-1
001949.png,1,-1,-1,-1,-1,-1
001951.png,1,-1,-1,-1,-1,-1
001959.png,1,-1,-1,-1,1,-1
001961.png,-1,-1,1,-1,-1,-1
001968.png,-1,-1,1,-1,1,-1
001971.png,-1,-1,-1,1,-1,-1
001973.png,1,-1,-1,-1,-1,-1
001975.png,1,-1,-1,-1,-1,-1
001976.png,-1,-1,1,-1,-1,-1
001977.png,1,-1,-1,-1,1,-1
001978.png,-1,-1,-1,1,-1,-1
001980.png,-1,-1,-1,1,-1,-1
001981.png,-1,-1,1,-1,-1,1
001982.png,-1,-1,-1,1,-1,-1
001983.png,1,-1,-1,-1,1,-1
001984.png,-1,-1,1,-1,-1,-1
001986.png,-1,-1,-1,1,-1,-1
001988.png,-1,-1,1,-1,-1,1
001994.png,1,-1,-1,-1,-1,-1
001995.png,1,-1,1,-1,-1,-1
001998.png,-1,-1,1,-1,-1,1
002000.png,1,-1,-1,-1,-1,-1
002001.png,1,-1,-1,-1,-1,-1
002003.png,-1,-1,-1,-1,1,-1
002006.png,-1,-1,-1,-1,1,-1
002007.png,1,-1,-1,-1,-1,-1
002009.png,-1,-1,-1,-1,1,-1
002012.png,1,-1,-1,-1,-1,-1
002013.png,-1,-1,1,-1,-1,1
002016.png,1,-1,-1,-1,1,-1
002018.png,1,-1,-1,-1,-1,-1
002033.png,-1,-1,-1,-1,-1,1
002037.png,1,-1,-1,-1,1,-1
002039.png,1,-1,-1,-1,-1,1
002049.png,-1,-1,-1,-1,-1,1
002055.png,1,-1,-1,-1,-1,-1
002061.png,1,-1,-1,-1,1,-1
002063.png,1,-1,-1,-1,-1,-1
002065.png,1,-1,-1,-1,-1,1
002068.png,1,-1,-1,-1,-1,-1
002075.png,1,-1,-1,-1,1,-1
002076.png,1,-1,-1,-1,1,-1
002078.png,-1,-1,-1,1,-1,-1
002088.png,1,-1,-1,-1,-1,1
002095.png,1,-1,-1,-1,1,-1
002100.png,-1,-1,1,-1,-1,1
002106.png,-1,-1,-1,1,-1,-1
002112.png,-1,-1,1,-1,-1,-1
002114.png,-1,-1,1,-1,-1,-1
002118.png,-1,-1,1,-1,1,-1
002121.png,1,-1,-1,-1,-1,-1
002122.png,1,-1,-1,-1,-1,-1
002123.png,1,-1,-1,-1,1,-1
002124.png,-1,-1,-1,1,-1,-1
002131.png,-1,-1,-1,1,1,-1
002132.png,-1,-1,-1,1,-1,-1
002135.png,1,-1,-1,-1,-1,1
002138.png,-1,-1,1,-1,1,-1
002141.png,-1,-1,-1,1,-1,-1
002143.png,1,-1,-1,-1,-1,-1
002145.png,-1,-1,-1,1,-1,-1
002148.png,1,-1,-1,-1,-1,-1
002150.png,-1,-1,1,-1,-1,-1
002151.png,-1,-1,1,-1,-1,1
002160.png,1,-1,-1,-1,-1,1
002168.png,-1,-1,1,-1,1,-1
002170.png,1,-1,1,-1,1,-1
002172.png,-1,-1,1,-1,-1,-1
002173.png,1,-1,-1,-1,1,-1
002181.png,1,-1,-1,-1,1,-1
002187.png,-1,-1,-1,1,1,-1
002188.png,-1,-1,-1,1,-1,-1
002191.png,-1,-1,-1,1,-1,-1
002192.png,1,-1,-1,-1,1,-1
002203.png,-1,-1,1,-1,1,-1
002205.png,-1,-1,-1,1,-1,-1
002212.png,-1,1,-1,-1,-1,1
002213.png,1,-1,-1,-1,-1,-1
002214.png,-1,-1,1,-1,-1,1
002215.png,1,-1,-1,-1,1,1
002220.png,-1,-1,1,-1,1,-1
002223.png,1,-1,-1,-1,-1,1
002224.png,-1,-1,1,-1,-1,1
002225.png,1,-1,-1,-1,-1,-1
002227.png,1,-1,-1,-1,-1,-1
002229.png,-1,-1,1,-1,-1,-1
002232.png,-1,-1,-1,1,-1,1
002245.png,-1,-1,-1,-1,-1,1
002248.png,1,-1,-1,-1,-1,-1
